# Medication database
# Format: Name | Active substances (comma-separated) | Type
Betadine VAG | Polyvidonum iodinatum 0.2 g | Leki układu moczowo‑płciowego i hormony płciowe
Betadine | Povidonum iodinatum 2 g | Leki dermatologiczne
Betadrin | Diphenhydramini hydrochloridum 1 mg/ml + Naphazolini nitras 0.33 mg/ml | Leki okulistyczne i otologiczne
Betaloc | Metoprololi tartras 1 mg | β-blokery selektywne
Betoptic 0,5% | Betaxololi hydrochloridum 5.6 mg/ml | Leki okulistyczne i otologiczne
Betoptic S | Betaxololi hydrochloridum 2.8 mg | Leki okulistyczne i otologiczne
Bioaron SYSTEM | Aloes arborescentis recentis extractum fluidum 38,4 g + Acidum ascorbicum 1,02 g | Farmakologiczna grupa nieokreślona
Isoptin 40 | Verapamili hydrochloridum 40 mg | Leki układu sercowo‑naczyniowego
Biodacyna | amikacyna w postaci disiarczanu amikacyny | Leki przeciwbakteryjne i przeciwzakaźne
Biofuroksym | Cefuroximum natricum 1500 mg | Leki przeciwbakteryjne i przeciwzakaźne
Bioracef | Cefuroximum axetilum 125 mg | Leki przeciwbakteryjne i przeciwzakaźne
Biosotal 40 | Sotaloli hydrochloridum 40 mg | Leki układu sercowo‑naczyniowego
Biosotal 80 | Sotaloli hydrochloridum 80 mg | Leki układu sercowo‑naczyniowego
Biostymina | Aloe arborescens extractum (1:4) 100 ml/100 ml | Farmakologiczna grupa nieokreślona
Biotaksym | Cefotaximum natricum 1.08 g | Cefalosporyny III generacji
Biotrakson | Ceftriaxonum natricum 1000 mg | Cefalosporyny III generacji
Biotum | Ceftazidimum 500 mg | Cefalosporyny III generacji
Bioxetin | Fluoxetinum 20 mg | SSRI
Bisacodyl VP | Bisacodylum 5 mg | Leki przewodu pokarmowego i metaboliczne
Trimesolphar | Sulfamethoxazolum 80 mg/ml + Trimethoprimum 16 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Biseptol | Sulfamethoxazolum 200 mg/5 ml + Trimethoprimum 40 mg/5 ml | Leki przeciwbakteryjne i przeciwzakaźne
Biseptol 120 | Sulfamethoxazolum 100 mg + Trimethoprimum 20 mg | Leki przeciwbakteryjne i przeciwzakaźne
Biseptol 480 | Sulfamethoxazolum 400 mg + Trimethoprimum 80 mg | Leki przeciwbakteryjne i przeciwzakaźne
Biseptol 960 | Sulfamethoxazolum 800 mg + Trimethoprimum 160 mg | Leki przeciwbakteryjne i przeciwzakaźne
Staveran 120 | Verapamili hydrochloridum 120 mg | Leki układu sercowo‑naczyniowego
Braunovidon | Polyvidonum iodinatum 10,00 g/100 g | Leki dermatologiczne
Prattack | Pranoprofenum 1 mg/ml | Leki okulistyczne i otologiczne
Brodacid | Acidum lacticum 50,4 mg/g + Acidum salicylicum 100 mg/g | Leki dermatologiczne
Broncho-Vaxom | Szczepionka wieloważna 3.5 mg + Galusan propylu (E310) 42 mcg + sodu glutaminian 1.515 mg + Mannitol do 20 mg | Leki układu oddechowego
Riluzol PMCS | Riluzolum 50 mg | Leki działające na układ nerwowy
Bunondol | Buprenorphini hydrochloridum 324 mcg (buprenorfina 300 mcg) | Leki działające na układ nerwowy
Bupivacainum hydrochloricum WZF 0,5% | Bupivacaini hydrochloridum 5 mg | Leki działające na układ nerwowy
Buscolysin | Hyoscini butylbromidum 0.02 g | Leki przewodu pokarmowego i metaboliczne
Buscopan | Hyoscini butylbromidum 10 mg | Leki przewodu pokarmowego i metaboliczne
Butapirazol | Phenylbutazonum 5 g | Leki układu mięśniowo‑szkieletowego
Calcium Polfarmex | Calcii glubionas 29.4 mg/100 ml + Calcii lactobionas 6.4 mg/100 ml | Leki przewodu pokarmowego i metaboliczne
Calcium Aflofarm (o smaku bananowym) | Calcii gluconas 89,5 mg/tabletkę + Calcii lactobionas 75,0 mg/tabletkę | Leki przewodu pokarmowego i metaboliczne
Sanosvit Calcium | Calcii glubionas 3,1 mg/tabletkę + Calcii lactobionas 22,5 mg/tabletkę | Leki przewodu pokarmowego i metaboliczne
Calcium dobesilate Galena | Calcii dobesilas 250 mg | Leki układu sercowo‑naczyniowego
Calcium gluconicum Farmapol | Calcii gluconas 500 mg | Leki przewodu pokarmowego i metaboliczne
Calcium pantothenicum Jelfa | Calcii pantothenas 100 mg | Leki przewodu pokarmowego i metaboliczne
Calcium Resonium | Sulfonianu polistyrenu sól wapniowa 99,934 g/100 g | Pozostałe produkty lecznicze
Calcium Hasco | Calcii glubionas 29.4 g + Calcii lactobionas 6.4 g | Leki przewodu pokarmowego i metaboliczne
Calcium-Sandoz Forte | Calcii lactoglubionas 1132 mg + Calcii carbonas praecipitatus 875 mg | Leki przewodu pokarmowego i metaboliczne
