# Medication database
# Format: Name | Active substances (comma-separated) | Type
Doppelsil Max | Sildenafilum 50 mg | Leki układu moczowo‑płciowego i hormony płciowe
DoppelSil | Sildenafilum 25 mg | Leki układu moczowo‑płciowego i hormony płciowe
Levosol | Levodropropizinum 6 mg/ml | Leki układu oddechowego
Noctis Noc | Doxylamini hydrogenosuccinas 12.5 mg | Leki układu oddechowego
Doxylamine Biofarm | Doxylamini hydrogenosuccinas 25 mg | Leki układu oddechowego
Asterdan | Erdosteinum 300 mg | Leki układu oddechowego
MUCOPECT CONTROL | Carbocisteinum 375 mg | Leki układu oddechowego
Senamina Forte | Doxylamini hydrogenosuccinas 25 mg | Leki układu oddechowego
Neurobion Advance | Thiamini nitras 100 mg + Pyridoxini hydrochloridum 50 mg + Cyanocobalaminum 1 mg | Leki przewodu pokarmowego i metaboliczne
Treprostinil Tillomed | Treprostinilum 1 mg/ml | Leki przeciwpłytkowe
Racedryl Go | Racecadotrilum 30 mg | Leki przewodu pokarmowego i metaboliczne
Racedryl | Racecadotrilum 10 mg | Leki przewodu pokarmowego i metaboliczne
Dienogest Stragen | Dienogestum 2 mg | Leki układu moczowo‑płciowego i hormony płciowe
Evant | Szczepionka przeciw zakażenio wywołanym przez kokcydia z rodzaju Eimeria ep. - | Farmakologiczna grupa nieokreślona
Ibuprofen Kabi | Ibuprofenum 4 mg/ml | NLPZ
Fluconazole Aurovitas | Fluconazolum 100 mg | Leki przeciwbakteryjne i przeciwzakaźne
Milrinone Zentiva | Milrinonum 1 mg/ml | Leki układu sercowo‑naczyniowego
Landulosin | Dutasteridum 0.5 mg + Tamsulosini hydrochloridum 0.4 mg | Leki układu moczowo‑płciowego i hormony płciowe
Dutamsol Mono | Dutasteridum 0.5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Levirox | Levothyroxinum natricum 25 mcg | Leki hormonalne
Tigrix | Ticagrelorum 60 mg | Leki przeciwpłytkowe
Micafungin Day Zero | Micafunginum natricum 50.86 mg | Leki przeciwbakteryjne i przeciwzakaźne
Ossmiq | Posaconazolum 100 mg | Leki przeciwbakteryjne i przeciwzakaźne
Symbactin | Clindamycinum 100 mg | Leki układu moczowo‑płciowego i hormony płciowe
Clindavag | Clindamycini phosphas 119 mg | Leki układu moczowo‑płciowego i hormony płciowe
Metamizol Krka | Metamizolum natricum monohydricum 1 g | Leki działające na układ nerwowy
Pegorion Junior | Macrogolum 4000 6 g | Leki przewodu pokarmowego i metaboliczne
Pegorion | Macrogolum 4000 12 g | Leki przewodu pokarmowego i metaboliczne
Maysiglu | Sitagliptinum 25 mg | Inhibitory DPP-4
Luminastil | Diphenhydramini hydrochloridum 50 mg | Leki układu oddechowego
Oseltix | Oseltamiviri phosphas 98.5 mg | Leki przeciwbakteryjne i przeciwzakaźne
Diclostim | Diclofenacum natricum 0.796 mg/ml | Leki przewodu pokarmowego i metaboliczne
Ticatrom | Ticagrelorum 60 mg | Leki przeciwpłytkowe
Ondansetron Accord | Ondansetroni hydrochloridum dihydricum 4,98 mg | Leki przewodu pokarmowego i metaboliczne
Azacitidine Sandoz | Azacitidinum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Acarbose Aurovitas | Acarbosum 50 mg | Inhibitory alfa-glukozydazy
Sachodent | Cholini salicylas 87,1 mg/g | Leki przewodu pokarmowego i metaboliczne
Moxapulvis | Amoxicillinum trihydricum 574 mg/g | Farmakologiczna grupa nieokreślona
Pharmavac PHA | Inaktywowany paramyksowirus gołębi typ 1 (PPMV1), szczep 988M ≥ 6,9 log2 HIU + Inaktywowany herpeswirus gołębi 1 (PHV1), szczep V298/70 ≥ 38,1 EU + Inaktywowany ptasi adenowirus typ 8 (FAdV-8), szczep M2/E ≥ 24.7 EU | Farmakologiczna grupa nieokreślona
Azoneurax | Trazodoni hydrochloridum 75 mg | Inne leki przeciwdepresyjne
Gentamicin Noridem | Gentamicini sulfas 33.9 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Hydrocortisone aceponate Ecuphar | Hydrocortisoni aceponas 0.584 mg/ml | Farmakologiczna grupa nieokreślona
Vizimpro | Dacomitinibum 15 mg | Leki przeciwnowotworowe i immunomodulujące
Moxifloxacin Accord | Moxifloxacinum 400 mg | Fluorochinolony
Sumatriptan SUN | Sumatriptanum 3 mg/0,5 ml | Leki działające na układ nerwowy
Torphadine vet | Butorphanoli tartras 10 mg/ml | Farmakologiczna grupa nieokreślona
Strepsils Intensive o smaku miodu i eukaliptusa | Flurbiprofenum 8.75 mg | Leki układu oddechowego
Phenylephrine Aguettant | Phenylephrinum 0.1 mg/ml | Leki układu sercowo‑naczyniowego
Kwikaton | Vildagliptinum 50 mg | Inhibitory DPP-4
Dengvaxia | Chimeryczny wirus żółtej gorączkii gorączki denga, serotyp 1 (żywy, atenuowany) 4,5 – 6,0 log10 CCID50/dawkę + Chimeryczny wirus żółtej gorączkii gorączki denga, serotyp 2 (żywy, atenuowany) 4,5 – 6,0 log10 CCID50/dawkę + Chimeryczny wirus żółtej gorączkii gorączki denga, serotyp 3 (żywy, atenuowany) 4,5 – 6,0 log10 CCID50/dawkę + Chimeryczny wirus żółtej gorączkii gorączki denga, serotyp 4 (żywy, atenuowany) 4,5 – 6,0 log10 CCID50/dawkę | Leki przeciwbakteryjne i przeciwzakaźne
Selehold | Selamectinum 360 mg/3 ml | Farmakologiczna grupa nieokreślona
Apravet | Apramycinum 552 j.m./1 mg | Farmakologiczna grupa nieokreślona
Cestal Cat | Pyranteli embonas 80 mg/1 yTabletka + Praziquantelum 20 mg/1 yTabletka | Farmakologiczna grupa nieokreślona
Ziextenzo | Pegfilgrastimum 6 mg | Leki przeciwnowotworowe i immunomodulujące
Alunbrig | Brigatinibum 30 mg | Leki przeciwnowotworowe i immunomodulujące
Apealea | Paclitaxelum 60 mg | Leki przeciwnowotworowe i immunomodulujące
Namuscla | Mexiletine hydrochloride 167 mg | Leki układu sercowo‑naczyniowego
Fulphila | Pegfilgrastimum 10 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Luxturna | Voretigenum neparvovecum 5 x 10^12 genomów wektora/ml | Leki okulistyczne i otologiczne
Pifeltro | Doravirinum 100 mg | Leki przeciwbakteryjne i przeciwzakaźne
Erlotinib Krka | Erlotinibi hydrochloridum 27.32 mg | Leki przeciwnowotworowe i immunomodulujące
Autostrzykawka Morfina Przeciwko Bólowi | Morphini hemisulfas 2,5- hydricus 10 mg/ml | Leki działające na układ nerwowy
Indywidualny Zestaw Autostrzykawek przeciwko Bojowym Środkom Trującym IZAS-05 | Atropini sulfas 2 mg/2 ml + Diazepamum 10 mg/2 ml + Pralidoxini chloridum 600 mg/2 ml + Atropini sulfas 2 mg/2 ml | Pozostałe produkty lecznicze
Osteoteri | Teriparatidum 20 mcg/80 mcl | Leki hormonalne
Lisinopril Aurovitas | Lisinoprilum dihydricum 10 mg | ACEI
Delstrigo | Doravirinum 100 mg + Lamivudinum 300 mg + Tenofovirum disoproxilum 245 mg | Leki przeciwbakteryjne i przeciwzakaźne
Vaborem | Meropenemum 1 g + Vaborbactamum 1 g | Leki przeciwbakteryjne i przeciwzakaźne
Poteligeo | Mogamulizumabum 4 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Buvidal | Buprenorphinum 8 mg | Leki działające na układ nerwowy
Verkazia | Ciclosporinum 1 mg/ml | Leki okulistyczne i otologiczne
Bevespi Aerosphere | Glycopyrronii bromidum 7.2 mcg + Formoteroli fumaras dihydricus 5 mcg | Leki układu oddechowego
Takhzyro | Lanadelumabum 300 mg | Leki działające na krew i układ krwiotwórczy
Erleada | Apalutamidum 60 mg | Leki przeciwnowotworowe i immunomodulujące
Silodosin Recordati | Silodosinum 4 mg | Leki układu moczowo‑płciowego i hormony płciowe
Zirabev | Bevacizumabum 25 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Miglustat Dipharma | Miglustatum 100 mg | Leki przewodu pokarmowego i metaboliczne
Mulpleo | Lusutrombopagum 3 mg | Leki działające na krew i układ krwiotwórczy
Vantobra | Tobramycinum 170 mg | Leki przeciwbakteryjne i przeciwzakaźne
Besremi | Ropeginterferonum alfa-2b 250 mcg/0,5 ml | Leki przeciwnowotworowe i immunomodulujące
Pranosin forte | Inosinum pranobexum 100 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Rizmoic | Naldemedinum 200 mcg | Leki przewodu pokarmowego i metaboliczne
Combodiab | Sitagliptini hydrochloridum monohydricum 56.69 mg + Metformini hydrochloridum 850 mg | Leki przewodu pokarmowego i metaboliczne
Ozased | Midazolamum 2 mg/ml | Leki działające na układ nerwowy
Sudafed XyloSpray HA dla dzieci | Xylometazolini hydrochloridum 0.5 mg/ml | Leki układu oddechowego
Catobevit | Butafosfanum 100 mg/ml + Cyanocobalaminum 0.05 mg/ml | Farmakologiczna grupa nieokreślona
Dionelle | Ethinylestradiolum 0.03 mg + Dienogestum 2 mg | Leki układu moczowo‑płciowego i hormony płciowe
Ajovy | Fremanezumabum 225 mg | Leki działające na układ nerwowy
Epidyolex | Cannabidiolum 100 mg/ml | Leki działające na układ nerwowy
Levaveto | Levamisoli hydrochloridum 884 mg/g | Farmakologiczna grupa nieokreślona
Nalgosed | Butorphanoli tartras 14.58 mg/ml | Farmakologiczna grupa nieokreślona
Intubeaze | Lidocaini hydrochloridum 20 mg/ml | Farmakologiczna grupa nieokreślona
Tranquigel vet | Acepromazini maleas 35 mg/g | Farmakologiczna grupa nieokreślona
Syvazul BTV | Szczepionka przeciw wirusowi choroby niebieskiego języka, inaktywowana - | Farmakologiczna grupa nieokreślona
Infacol | Simeticonum 40 mg/ml | Leki przewodu pokarmowego i metaboliczne
Bisacodyl GSK | Bisacodylum 10 mg | Leki przewodu pokarmowego i metaboliczne
Febuxostat Krka | Febuxostatum 80 mg | Leki układu mięśniowo‑szkieletowego
Lorviqua | Lorlatinibum 25 mg | Leki przeciwnowotworowe i immunomodulujące
Tuloxxin | Tulathromycinum 100 mg/ml | Farmakologiczna grupa nieokreślona
Kriptazen | Halofuginonum 0.5 mg/ml | Farmakologiczna grupa nieokreślona
Skyrizi | Risankizumabum 75 mg/0.83 ml | Leki przeciwnowotworowe i immunomodulujące
Humalog 100 jednostek/ml Junior KwikPen | Insulinum lisprum 100 j/ml | Leki przewodu pokarmowego i metaboliczne
Levocin | Levofloxacinum 500 mg | Fluorochinolony
Rubraca | Rucaparibum 200 mg | Leki przeciwnowotworowe i immunomodulujące
Natpar | Hormonum Parathyroidum (rDNA) 25 mcg/dawkę | Leki hormonalne
Amiodaron Accord | Amiodaroni hydrochloridum 30 mg/ml | Leki układu sercowo‑naczyniowego
Silodosin Accord | Silodosinum 4 mg | Leki układu moczowo‑płciowego i hormony płciowe
Rivertaxo | Rivaroxabanum 15 mg | DOAC
Rozesta | Rosuvastatinum calicum 5.2 mg + Ezetimibum 10 mg | Leki układu sercowo‑naczyniowego
Helmigal | Fenbendazolum 40 mg/g | Farmakologiczna grupa nieokreślona
Pazenir | Paclitaxelum 100 mg | Leki przeciwnowotworowe i immunomodulujące
Pectolvan | Hederae helicis folii extractum siccum 7 mg/ml | Leki układu oddechowego
Omeprazol Medreg | Omeprazolum 10 mg | IPP
Visine Comfort | Tetryzolini hydrochloridum 0,5 mg/ml | Leki okulistyczne i otologiczne
Risperidone Teva | Risperidonum 25 mg | Leki działające na układ nerwowy
Trymox LA | Amoxicillinum 150 mg/ml | Farmakologiczna grupa nieokreślona
Amoxibactin vet | Amoxicillinum trihydricum 57.5 mg | Farmakologiczna grupa nieokreślona
Vizilatan Duo | Latanoprostum 50 mcg + Timololum 5,00 mg | Leki okulistyczne i otologiczne
Help4Skin SEPTI-SPRAY | Octenidini dihydrochloridum 1 mg/g + Phenoxyethanolum 20 mg/g | Leki dermatologiczne
Ibuprofen Alkaloid-INT | Ibuprofenum 40 mg/ml | NLPZ
Fingolimod MSN | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Avishield IBD INT | Wirus zakaźnego zapalenia torby Fabrycjusza, szczep IM VMG 91, żywy 10^4,0 do 10^5,0 TCID50 / dawkę | Farmakologiczna grupa nieokreślona
Dexafast | Dexamethasoni natrii phosphas 2 mg/ml | Farmakologiczna grupa nieokreślona
Hydrokortyzon Allefin | Hydrocortisoni acetas 5 mg | Leki dermatologiczne
Hydrokortyzon Allefin Max | Hydrocortisoni acetas 10 mg/g | Leki dermatologiczne
Vicks Sinex Aloes i Eukaliptus | Oxymetazolini hydrochloridum 0.5 mg/ml | Leki układu oddechowego
Myrelez | Lanreotidi acetas 66.67 mg | Leki hormonalne
Fingolimod Stada | Fingolimodi hydrochloridum 0.56 mg | Leki przeciwnowotworowe i immunomodulujące
Atazanavir Krka | Atazanavirum 150 mg | Leki przeciwbakteryjne i przeciwzakaźne
INZOLFI | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Xylorin Protect | Oxymetazolini hydrochloridum 0,5 mg/ml | Leki układu oddechowego
Fingolimod Alvogen | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Canishield | Deltamethrinum Jedna obroża o długości 48 cm (19,2 g) zawiera:
0,77 g substancji czynnej | Farmakologiczna grupa nieokreślona
Fingolimod Symphar | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Chantico | Fingolimodi hydrochloridum 0.56 mg | Leki przeciwnowotworowe i immunomodulujące
Fimodigo | Fingolimodi hydrochloridum 0.56 mg | Leki przeciwnowotworowe i immunomodulujące
Fingolimod Richter | Fingolimodi hydrochloridum 0.56 mg | Leki przeciwnowotworowe i immunomodulujące
Fenoxa | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Tigecycline TZF | Tigecyclinum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Metformin hydrochloride Inventia | Metformini hydrochloridum 500 mg | Biguanidy
Thinban | Rivaroxabanum 2.5 mg | Biguanidy
Atrodil Combo | Fenoteroli hydrobromidum 0,5 mg/ml + Ipratropii bromidum 0,25 mg/ml | Leki układu oddechowego
Isotretinoin Aristo | Isotretinoinum 10 mg | Leki dermatologiczne
iladiamed | Octenidini dihydrochloridum 1 mg/g + Phenoxyethanolum 10 mg/g | Leki dermatologiczne
HITAXA METMIN-SPRAY | Mometasoni furoas 50 mcg/dawkę | Leki układu oddechowego
Mucopect | Carbocisteinum 0.05 g/ml | Leki układu oddechowego
Mucopect Kids | Carbocisteinum 0.05 g/ml | Leki układu oddechowego
Senamina | Doxylamini hydrogenosuccinas 12,5 mg | Leki układu oddechowego
Gardimax medica truskawkowy | Chlorhexidini dihydrochloridum 5 mg + Lidocaini hydrochloridum 1 mg | Leki układu oddechowego
Xyzal Allergy | Levocetirizini dihydrochloridum 5 mg | Leki układu oddechowego
Viruzine Forte | Inosinum pranobexum 500 mg/5 ml | Leki przeciwbakteryjne i przeciwzakaźne
Cinacalcet Aurovitas | Cinacalcetum 30 mg | Leki hormonalne
Vetemex | Maropitantum 10 mg/ml | Farmakologiczna grupa nieokreślona
Ketoangin | Ketoprofenum 0.024 g/15 ml | Leki przewodu pokarmowego i metaboliczne
Idacio | Adalimumabum 40 mg/0,8 ml | Leki przeciwnowotworowe i immunomodulujące
Taptiqom Multi | Tafluprostum 15 mcg/ml + Timololum 5 mg/ml | Leki okulistyczne i otologiczne
Librexa | Leuprorelini acetas 10.72 mg + Leuprorelinum 12.1 mg | Leki przeciwnowotworowe i immunomodulujące
Fingolimod Aristo | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Mantreda | Rivaroxabanum 10 mg | DOAC
Posaconazole Sandoz | Posaconazolum 40 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Dectova | Zanamivirum 10 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Ondexxya | Andexanetum alfa 200 mg | Pozostałe produkty lecznicze
Arundo Donax | Arundo donax 2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 6K, 12K, 30K, 200K, 1MK, 10MK, 100MK 0.01 ml | Farmakologiczna grupa nieokreślona
Levorex | Levocetirizini dihydrochloridum 5 mg | Leki układu oddechowego
Menero MED | Tadalafilum 2.5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Tadalafil MENSIL MED | Tadalafilum 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Tadalafil MENSIL | Tadalafilum 10 mg | Leki układu moczowo‑płciowego i hormony płciowe
Gerodaza | Azacitidinum 25 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Ambrisentan AOP | Ambrisentanum 5 mg | Leki układu sercowo‑naczyniowego
Diclofenac diethylamine Teva | Diclofenacum natricum 10 mg/g | Leki układu mięśniowo‑szkieletowego
Cabazitaxel MSN | Cabazitaxelum 60 mg | Leki przeciwnowotworowe i immunomodulujące
SITAGLIPTIN BIOTON | Sitagliptini hydrochloridum monohydricum 28.34 mg | Inhibitory DPP-4
Fingolimod SUN | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Hydroxychloroquine sulfate Accord | Hydroxychloroquini sulphas 200 mg | Leki przeciwpasożytnicze
Kleder | Lenalidomidum 5 mg | Leki przeciwnowotworowe i immunomodulujące
Lenalidomide Pharmascience | Lenalidomidum 2.5 mg | Leki przeciwnowotworowe i immunomodulujące
Veloxsol | Solifenacini succinas 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Probencil | Benzylpenicillinum procainum 300 mg/ml | Farmakologiczna grupa nieokreślona
Caliercortin | Dexamethasoni Natrii phosphas 4 mg/1 ml | Farmakologiczna grupa nieokreślona
Hedylon | Prednisolonum 5 mg | Farmakologiczna grupa nieokreślona
VARIVAX | Vaccinum Variolae (vivum) nie mniej niż 1350 PFU/0,5 ml | Leki przeciwbakteryjne i przeciwzakaźne
AuroDulox | Duloxetini hydrochloridum 33,678 mg | Inne leki przeciwdepresyjne
Arnithei | Arnicae tinctura 24 g/100 g | Farmakologiczna grupa nieokreślona
Ibuprofen Banner | Ibuprofenum 100 mg | NLPZ
Biorphen | Phenylephrinum 0.08 mg | Leki układu sercowo‑naczyniowego
Atropine Accord | Atropini sulfas 0.1 mg/ml | Leki przewodu pokarmowego i metaboliczne
Letrozole Eugia | Letrozolum 2.5 mg | Leki przeciwnowotworowe i immunomodulujące
Ducressa | Levofloxacinum 5 mg/ml + Dexamethasonum 1 mg/ml | Leki okulistyczne i otologiczne
Alphaflorosol | Florfenicolum 100 mg/ml | Farmakologiczna grupa nieokreślona
Fenirex | Paracetamolum 500 mg + Pheniramini maleas 25 mg + Acidum ascorbicum 200 mg | Leki działające na układ nerwowy
Domilgan | Metamizolum natricum monohydricum 1 g | Leki działające na układ nerwowy
Clindamycin hameln | Clindamycini phosphas 150 mg/ml | Leki przeciwbakteryjne i przeciwzakaźne
Furaginum Hasco Forte | Furazidinum 100 mg/5 ml | Leki przeciwbakteryjne i przeciwzakaźne
Dovato | Dolutegravirum 50 mg + Lamivudinum 300 mg | Leki przeciwbakteryjne i przeciwzakaźne
Bonaxon | Fingolimodum 0.5 mg | Leki przeciwnowotworowe i immunomodulujące
Vetflurane | Isofluranum 1000 mg/1 g | Farmakologiczna grupa nieokreślona
Calsiosol | Calcii gluconas ad iniectabile 0.0955 g/ml | Leki przewodu pokarmowego i metaboliczne
Ondansetron Kalceks | Ondansetronum 2 mg/ml | Leki przewodu pokarmowego i metaboliczne
Etform SR | Metformini hydrochloridum 500 mg | Biguanidy
Efluelda Tetra | Szczepionka przeciwko grypie inaktywowana A/Victoria/4897/2022 (H1N1)pdm09 - podobny szczep (A/Victoria/4897/2022, IVR-238) - 60 mikrogramów HA **
A/Thailand/8/2022 (H3N2)-podobny szczep (A/California/122/2022, SAN-022) - 60 mikrogramów HA **
B/Austria/1359417/2021-podobny szczep (B/Michigan/01/2021, typ dziki) - 60 mikrogramów HA **
B/Phuket/3073/2013-podobny szczep (B/Phuket/3073/2013, typ dziki) - 60 mikrogramów HA ** | Leki przeciwbakteryjne i przeciwzakaźne
Waylivra | Volanesorsenum natricum 285 mg | Leki układu sercowo‑naczyniowego
Palynziq | Pegvaliasum 2.5 mg | Leki przewodu pokarmowego i metaboliczne
Sorafenib Stada | Sorafenibi Tosilas 274 mg | Leki przeciwnowotworowe i immunomodulujące
Sorafenib G.L. | Sorafenibi Tosilas 274 mg | Leki przeciwnowotworowe i immunomodulujące
Infex Zatoki | Ibuprofenum 200 mg + Pseudoephedrini hydrochloridum 30 mg | Leki układu oddechowego
Zenofor SR | Metformini hydrochloridum 500 mg | Biguanidy
Vagirux | Estradiolum hemihydricum 0.01 mg | Leki układu moczowo‑płciowego i hormony płciowe
Vitamin D3 MEDITOP | Cholecalciferolum, pulvis 100 mg | Leki przewodu pokarmowego i metaboliczne
Xerdoxo | Rivaroxabanum 2.5 mg | DOAC
Melkart | Vildagliptinum 50 mg | Inhibitory DPP-4
Melkart Duo | Vildagliptinum 50 mg + Metforminum 850 mg | Leki przewodu pokarmowego i metaboliczne
Azacitidine STADA | Azacitidinum 100 mg/fiolkę | Leki przeciwnowotworowe i immunomodulujące
Sildenafil Walmark | Sildenafilum 100 mg | Leki układu moczowo‑płciowego i hormony płciowe
Permen Med Forte | Sildenafilum 50 mg | Leki układu moczowo‑płciowego i hormony płciowe
Permen Med | Sildenafili citras 35.12 mg | Leki układu moczowo‑płciowego i hormony płciowe
Tripoflox | Marbofloxacinum 1.025 mg/ml + Ketoconazolum 2.041 mg/ml + Prednisolonum 0.926 mg/ml | Farmakologiczna grupa nieokreślona
Tilkomay | Tilmicosinum 300 mg/ml + Ketoprofenum 90 mg/ml | Farmakologiczna grupa nieokreślona
Amoxy Active CTD | Amoxicillinum trihydricum 800 mg/g | Farmakologiczna grupa nieokreślona
Fulvestrant Stada | Fulvestrantum 250 mg/5 ml | Leki przeciwnowotworowe i immunomodulujące
Rosuvastatin/Amlodipine Teva | Rosuvastatinum 10 mg + Amlodipinum 5 mg | Leki układu sercowo‑naczyniowego
Sorafenib Sandoz | Sorafenibi Tosilas 274 mg | Leki przeciwnowotworowe i immunomodulujące
Aurosolin | Solifenacini succinas 5 mg | Leki układu moczowo‑płciowego i hormony płciowe
Ibuxal Plus | Ibuprofenum 200 mg + Paracetamolum 500 mg | Leki działające na układ nerwowy
Fingolimod Solinea | Fingolimodum 0.5 mg | Farmakologiczna grupa nieokreślona
Apixaban Aurovitas | Apixabanum 2.5 mg | DOAC
Noradrenalin Kalceks | Noradrenalinum 1mg/ml | Leki układu sercowo‑naczyniowego
Cabazitaxel Ever Pharma | Cabazitaxelum 10 mg/ml | Leki przeciwnowotworowe i immunomodulujące
Brinzolamide Accord | Brinzolamidum 10 mg/ml | Leki okulistyczne i otologiczne
Anastrozole Eugia | Anastrozolum 1 mg | Leki przeciwnowotworowe i immunomodulujące
Aurodisc | Salmeteroli xinafoas 50 mikrogramów/dawkę + Fluticasoni propionas 100 mikrogramów/dawkę | Leki układu oddechowego
Apixaban Teva | Apixabanum 2.5 mg | DOAC
Duexon Pro | Salmeteroli xinafoas 50 mcg/dawkę + Fluticasoni propionas 100 mcg/dawkę | Leki układu oddechowego
Dexamethasone hameln | Dexamethasoni natrii phosphas 4.37 mg/ml | Leki hormonalne
Calperos Vita-D3 | Calcii carbonas 1250 mg + Cholecalciferolum, pulvis 20 mg | Leki przewodu pokarmowego i metaboliczne
Fingolimod Teva | Fingolimodi hydrochloridum 0.28 mg | Leki przeciwnowotworowe i immunomodulujące
Dynid Gem | Desloratadinum 5 mg | Leki układu oddechowego
Amoksiklav ES | Amoxicillinum trihydricum 688,7 mg/5 ml + Kalii clavulanas 51.1 mg/5 ml | Penicyliny z inhibitorami beta-laktamaz
Fulvestrant Zentiva | Fulvestrantum 250 mg/5 ml | Leki przeciwnowotworowe i immunomodulujące
Vastaloma | Fulvestrantum | Leki przeciwnowotworowe i immunomodulujące
ESONALGEN | Naproxenum 500 mg + Esomeprazolum magnesicum trihydricum 22.3 mg | NLPZ
Parofor crypto | Paromomycinum - | Farmakologiczna grupa nieokreślona
Tildoket | Tilmicosinum 300 mg/ml + Ketoprofenum 90 mg/ml | Farmakologiczna grupa nieokreślona
BIOSUIS ParvoEry | Inaktywowany parwowirus świń CAMP V198, szczep S-27 4 log2 HIU/1 dawka + Inaktywowany włoskowiec różycy (Erysipelothrix rhusiopathiae), serotyp 2, szczep 2-64 1 RP/1 dawka | Farmakologiczna grupa nieokreślona
Baycox Iron | Toltrazurilum 36 mg/ml + Ferrum III 182 mg/ml | Farmakologiczna grupa nieokreślona
Chanhold15 mg | Selamectin 15 mg | Farmakologiczna grupa nieokreślona
Chanhold 30 mg | Selamectin 30 mg | Farmakologiczna grupa nieokreślona
Chanhold 45 mg | Selamectin 45 mg | Farmakologiczna grupa nieokreślona
Chanhold 60 mg | Selamectin 60 mg | Farmakologiczna grupa nieokreślona
Chanhold 120 mg | Selamectin 120 mg | Farmakologiczna grupa nieokreślona
Chanhold 240 mg | Selamectin 240 mg | Farmakologiczna grupa nieokreślona
Chanhold 360 mg | Selamectin 360 mg | Farmakologiczna grupa nieokreślona
Forceris | Toltrazurilum 30 mg + Ferrum III 133.4 mg | Farmakologiczna grupa nieokreślona
Micafungin Sandoz | Micafunginum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Micafungin Viatris | Micafunginum natricum 50.86 mg | Leki przeciwbakteryjne i przeciwzakaźne
Bortezomib Eugia | Bortezomibum 3.5 mg | Leki przeciwnowotworowe i immunomodulujące
Micafungin Accord | Micafunginum 50 mg | Leki przeciwbakteryjne i przeciwzakaźne
Dexketoprofen Adamed | Dexketoprofenum 50 mg | NLPZ
Melatonina Pharma Nord | Melatoninum 3 mg | Leki działające na układ nerwowy
Anagrelide Bluefish | Anagrelidi hydrochloridum monohydricum 0.6063 mg | Leki przeciwnowotworowe i immunomodulujące
Urocare | Solifenacini succinas 3.77 mg | Leki układu moczowo‑płciowego i hormony płciowe
Lovamectin | Ivermectinum 10 mg/ml | Farmakologiczna grupa nieokreślona
Libtayo | Cemiplimabum 350 mg | Leki przeciwnowotworowe i immunomodulujące
Interflox | Enrofloxacinum 100 mg/ml | Farmakologiczna grupa nieokreślona
Eprinex Multi | Eprinomectinum 5 mg/ml | Farmakologiczna grupa nieokreślona
Amcofen | Milbemycinum oximum 2.5 mg + Praziquantelum 25 mg | Farmakologiczna grupa nieokreślona
Milprazon Plus | Milbemycinum oximum 4 mg + Praziquantelum 10 mg | Farmakologiczna grupa nieokreślona
Dronspot | Praziquantelum 30 mg + Emodepsidum 7.5 mg | Farmakologiczna grupa nieokreślona
Hedussin o smaku owocowym | Hederae helicis folii extractum siccum | Leki układu oddechowego
Totylem | Ferrum 60 mg + Acidum folicum 0.4 mg | Leki działające na krew i układ krwiotwórczy
Rivaxar | Rivaroxabanum 2.5 mg | DOAC
Ringer WET | Natrii chloridum 8.6 g/1000 ml + Kalii chloridum 0.3 g/1000 ml + Calcii chloridum dihydricum 0.33 g/1000 ml | Farmakologiczna grupa nieokreślona
Plasmalyte WET | Natrii chloridum 5.26 g/1000 ml + Kalii chloridum 0.37 g/1000 ml + Magnesii chloridum hexahydricum 0.3 g/1000 ml + Natrii acetas trihydricus 3.68 g/1000 ml + Natrii gluconas 5.02 g/1000 ml | Farmakologiczna grupa nieokreślona
Meloxicam APTEO MED | Meloxicamum 7.5 mg | Leki układu mięśniowo‑szkieletowego
Actisept MED | Octenidini dihydrochloridum 0.1 g/100 g + Phenoxyethanolum 2 g/100 g | Leki dermatologiczne
Meloxicam Genoptim | Meloxicamum 15 mg | Leki układu mięśniowo‑szkieletowego
Ketoflix | Ketoprofenum 50 mg | NLPZ
Lokelma | Natrii zirconii cyclosilicas 5 g | Pozostałe produkty lecznicze
